text,label
Hey do you want anything to buy:),ham
100 dating service cal;l 09064012103 box334sk38ch,spam
Can you use foreign stamps for whatever you send them off for?,ham
Haha... Hope ü can hear the receipt sound... Gd luck!,ham
No chikku nt yet.. Ya i'm free,ham
I'll be at mu in like  &lt;#&gt;  seconds,ham
Cant think of anyone with * spare room off * top of my head,ham
Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248,spam
Today am going to college so am not able to atten the class.,ham
Call FREEPHONE 0800 542 0578 now!,spam
… and don‘t worry we‘ll have finished by march … ish!,ham
FROM 88066 LOST £12 HELP,spam
Yes.he have good crickiting mind,ham
I am great! How are you?,ham
Is fujitsu s series lifebook good?,ham
ARR birthday today:) i wish him to get more oscar.,ham
Can a not?,ham
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,ham
No problem with the renewal. I.ll do it right away but i dont know his details.,ham
You are a very very very very bad girl. Or lady.,ham
K actually can you guys meet me at the sunoco on howard? It should be right on the way,ham
"I'll see, but prolly yeah",ham
K..k..any special today?,ham
Did u download the fring app?,ham
I am waiting machan. Call me once you free.,ham
Yes :)it completely in out of form:)clark also utter waste.,ham
"Sorry, got a late start, we're on the way",ham
Howz pain.it will come down today.do as i said ystrday.ice and medicine.,ham
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,ham
Ü takin linear algebra today?,ham
Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),ham
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",ham
hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,ham
Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,ham
"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",ham
"Lol you forgot it eh ? Yes, I'll bring it in babe",ham
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,spam
Hey. You got any mail?,ham
Were somewhere on Fredericksburg,ham
Watching telugu movie..wat abt u?,ham
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,spam
I've reached home finally...,ham
I love u 2 my little pocy bell I am sorry but I love u,ham
NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,ham
Dear we got  &lt;#&gt;  dollars hi hi,ham
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ham
But am going to college pa. What to do. are else ill come there it self. Pa.,ham
If u dun drive then how i go 2 sch.,ham
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham
Got smaller capacity one? Quite ex...,ham
You are not bothering me but you have to trust my answers. Pls.,ham
Men like shorter ladies. Gaze up into his eyes.,ham
Y ü wan to go there? C doctor?,ham
My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,ham
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,spam
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham
"Some friends want me to drive em someplace, probably take a while",ham
I tot u reach liao. He said t-shirt.,ham
Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,ham
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,ham
Networking technical support associate.,ham
Oh ho. Is this the first time u use these type of words,ham
"I wake up long ago already... Dunno, what other thing?",ham
Moji just informed me that you saved our lives. Thanks.,ham
Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,spam
"Call me. I m unable to cal. Lets meet bhaskar, and deep",ham
THANX 4 PUTTIN DA FONE DOWN ON ME!!,ham
"Cool, I'll text you in a few",ham
Ya very nice. . .be ready on thursday,ham
I told your number to gautham..,ham
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham
I'll let you know when it kicks in,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
What not under standing.,ham
I need... Coz i never go before,ham
Is there any movie theatre i can go to and watch unlimited movies and just pay once?,ham
No..its ful of song lyrics..,ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
Babe ? I lost you ... Will you try rebooting ?,ham
Senthil group company Apnt 5pm.,ham
How dare you change my ring,ham
yes baby! I need to stretch open your pussy!,ham
"Alright if you're sure, let me know when you're leaving",ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam
Cos darren say ü considering mah so i ask ü...,ham
We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,ham
No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ham
"That's cool he'll be here all night, lemme know when you're around",ham
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham
Yes:)sura in sun tv.:)lol.,ham
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham
Its a part of checking IQ,ham
We left already we at orchard now.,ham
My battery is low babe,ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham
We got a divorce. Lol. She.s here,ham
Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!,ham
here is my new address -apples&pairs&all that malarky,ham
Draw va?i dont think so:),ham
URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,spam
I need details about that online job.,ham
"Yup. Anything lor, if u dun wan it's ok...",ham
His bday real is in april .,ham
Oooh bed ridden ey? What are YOU thinking of?,ham
"We are hoping to get away by 7, from Langport. You still up for town tonight?",ham
"Free Msg: get Gnarls Barkleys ""Crazy"" ringtone TOTALLY FREE just reply GO to this message right now!",spam
Did u find out what time the bus is at coz i need to sort some stuff out.,ham
Stupid auto correct on my phone,ham
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam
Dear i am not denying your words please,ham
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,spam
I cant pick the phone right now. Pls send a message,ham
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,ham
"Sorry, I'll call later",ham
Ok...,ham
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam
If u sending her home first it's ok lor. I'm not ready yet.,ham
Ok lor... Or u wan me go look 4 u?,ham
Really good:)dhanush rocks once again:),ham
";-( oh well, c u later",ham
Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,ham
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam
"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",ham
"Not really dude, have no friends i'm afraid :(",ham
At what time are you coming.,ham
"Usf I guess, might as well take 1 car",ham
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,spam
That seems unnecessarily hostile,ham
I send the print  outs da.,ham
K and you're sure I don't have to have consent forms to do it :V,ham
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,spam
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,ham
", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers,",ham
"K I'll head out in a few mins, see you there",ham
I accidentally deleted the message. Resend please.,ham
Yo come over carlos will be here soon,ham
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,ham
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam
Then why no one talking to me,ham
Going to join tomorrow.,ham
Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?,ham
Dude sux for snake. He got old and raiden got buff,ham
Sindu got job in birla soft ..,ham
So why didnt you holla?,ham
Host-based IDPS for linux systems.,ham
Please leave this topic..sorry for telling that..,ham
Yes there were many sweets,ham
We are both fine. Thanks,ham
.Please charge my mobile when you get up in morning.,ham
Can you say what happen,ham
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",ham
Spoons it is then okay?,ham
Bugis oso near wat...,ham
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,ham
Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,ham
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,ham
did u get that message,ham
Happy birthday... May all ur dreams come true...,ham
"Ya tel, wats ur problem..",ham
"… we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """,ham
Thinkin about someone is all good. No drugs for that,ham
"Didn't try, g and I decided not to head out",ham
What Today-sunday..sunday is holiday..so no work..,ham
I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,ham
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,spam
Ü dun wan to watch infernal affair?,ham
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
Dont kick coco when he's down,ham
But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,ham
Fine. Do you remember me.,ham
No calls..messages..missed calls,ham
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham
Ryder unsold.now gibbs.,ham
What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,ham
"Sorry, I'll call later",ham
I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,ham
Ok enjoy . R u there in home.,ham
"Its good, we'll find a way",ham
Today my system sh get ready.all is well and i am also in the deep well,ham
I'm thinking that chennai forgot to come for auction..,ham
"Not much, just some textin'. How bout you?",ham
Ok. I asked for money how far,ham
Yavnt tried yet and never played original either,ham
Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,spam
Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,ham
"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",ham
Mm i had my food da from out,ham
What???? Hello wats talks email address?,ham
", ow u dey.i paid 60,400thousad.i told  u would call .",ham
Hope you are feeling great. Pls fill me in. Abiola,ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,ham
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
And stop being an old man. You get to build snowman snow angels and snowball fights.,ham
U know we watchin at lido?,ham
Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam
Also hi wesley how've you been,ham
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,ham
Mmm so yummy babe ... Nice jolt to the suzy,ham
"Maybe westshore or hyde park village, the place near my house?",ham
That's y i said it's bad dat all e gals know u... Wat u doing now?,ham
I see a cup of coffee animation,ham
Are you ok. What happen to behave like this,ham
S....s...india going to draw the series after many years in south african soil..,ham
Hi. Hope you had a good day. Have a better night.,ham
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,ham
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam
U guys never invite me anywhere :(,ham
I'm working technical support :)voice process.,ham
"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",spam
"Yes, princess. Are you going to make me moan?",ham
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,ham
Well i know Z will take care of me. So no worries.,ham
I dunno lei... Like dun haf...,ham
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),ham
HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN,ham
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",spam
Chk in ur belovd ms dict,ham
Then she dun believe wat?,ham
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam
Nvm it's ok...,ham
This pay is  &lt;DECIMAL&gt;  lakhs:),ham
Easy ah?sen got selected means its good..,ham
Aiyah ok wat as long as got improve can already wat...,ham
Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),ham
No. Did you multimedia message them or e-mail?,ham
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,ham
when you and derek done with class?,ham
"Aight, lemme know what's up",ham
Yo we are watching a movie on netflix,ham
Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham
"Gosh that , what a pain. Spose I better come then.",ham
Shall i send that exe to your mail id.,ham
Ok.,ham
"Just arrived, see you in a couple days &lt;3",ham
Are u awake? Is there snow there?,ham
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham
Thanks for ve lovely wisheds. You rock,ham
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,ham
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam
Do I? I thought I put it back in the box,ham
Hey i will be late... i'm at amk. Need to drink tea or coffee,ham
YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,spam
Tired. I haven't slept well the past few nights.,ham
Unni thank you dear for the recharge..Rakhesh,ham
K.k.how is your business now?,ham
Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,ham
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,spam
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
Do u noe wat time e place dat sells 4d closes?,ham
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",spam
U should have made an appointment,ham
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,spam
What was she looking for?,ham
Yup... How ü noe leh...,ham
"Yeah probably, I still gotta check out with leo",ham
Nope... Juz off from work...,ham
OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,ham
"As usual..iam fine, happy &amp; doing well..:)",ham
You do got a shitload of diamonds though,ham
Are you the cutest girl in the world or what,ham
Gud mrng dear hav a nice day,ham
Ok how you dear. Did you call chechi,ham
No need for the drug anymore.,ham
If I was I wasn't paying attention,ham
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",ham
I'm at work. Please call,ham
"Haha awesome, I might need to take you up on that, what you doin tonight?",ham
I like to talk pa but am not able to. I dont know y.,ham
Can't take any major roles in community outreach. You rock mel,ham
I have no money 4 steve mate! !,ham
"Sounds good, keep me posted",ham
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",ham
What time do u get out?,ham
Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,ham
"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",ham
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch,spam
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
Ya but it cant display internal subs so i gotta extract them,ham
Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,spam
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham
"Yeah, don't go to bed, I'll be back before midnight",ham
get ready to moan and scream :),ham
"Call me, i am senthil from hsbc.",ham
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",spam
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",spam
Hey tmr meet at bugis 930 ?,ham
Captain vijaykanth is doing comedy in captain tv..he is drunken :),ham
You still at grand prix?,ham
Aight should I just plan to come up later tonight?,ham
10 min later k...,ham
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,spam
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham
Yup,ham
"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!",ham
Dont know you bring some food,ham
I dont want to hear philosophy. Just say what happen,ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
Should I tell my friend not to come round til like  &lt;#&gt; ish?,ham
Ü dun need to pick ur gf?,ham
"Just looked it up and addie goes back Monday, sucks to be her",ham
hanks lotsly!,ham
But pls dont play in others life.,ham
"Sir, i am waiting for your call, once free please call me.",ham
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,ham
Ok i'm coming home now.,ham
R u saying i should re order the slippers cos i had to pay for returning it.,ham
"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",spam
I accidentally brought em home in the box,ham
Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,ham
I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave...,ham
Nobody names their penis a girls name this story doesn't add up at all,ham
Pls she needs to dat slowly or she will vomit more.,ham
"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",ham
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham
Yeah just open chat and click friend lists. Then make the list. Easy as pie,ham
"It's cool, we can last a little while. Getting more any time soon?",ham
Oops i thk i dun haf enuff... I go check then tell ü..,ham
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,ham
Hey anyway i have to :-),ham
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,ham
Then she buying today? Ü no need to c meh...,ham
Hi..i got the money da:),ham
I'll pick you up at about 5.15pm to go to taunton if you still want to come.,ham
"Great. I'm in church now, will holla when i get out",ham
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,ham
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,ham
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP",spam
Not..tel software name..,ham
"Better than bb. If he wont use it, his wife will or them doctor",ham
Hello madam how are you ?,ham
What happened in interview?,ham
Yeah imma come over cause jay wants to do some drugs,ham
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,ham
(That said can you text him one more time?),ham
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam
Jesus christ bitch I'm trying to give you drugs answer your fucking phone,ham
You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,ham
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
No probably  &lt;#&gt; %.,ham
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,ham
How would my ip address test that considering my computer isn't a minecraft server,ham
"Oops I did have it,  &lt;#&gt; ?",ham
Thts god's gift for birds as humans hav some natural gift frm god..,ham
Reverse is cheating. That is not mathematics.,ham
"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",ham
How. Its a little difficult but its a simple way to enter this place,ham
Same to u...,ham
"Hi elaine, is today's meeting confirmed?",ham
Onum ela pa. Normal than.,ham
* Will have two more cartons off u and is very pleased with shelves,ham
That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,ham
Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,ham
Ok I'm gonna head up to usf in like fifteen minutes,ham
I was about to do it when i texted. I finished a long time ago and showered and er'ything!,ham
FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,spam
Yes. Last  practice,ham
"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,ham
I place all ur points on e cultures module already.,ham
Just finished. Missing you plenty,ham
Thought we could go out for dinner. I'll treat you! Seem ok?,ham
