turn1,turn2,turn3,label
Ok as u wish..,are you really,don't talk with me now onwards,angry
Why?,idk you tell us,Isn't it interesting?,others
well not much,It never does.,worried about quizes tomorrow,sad
Ohh,to the end i guess,I m getting bored😞,sad
What does brk means?,nice word but i dont know the meaning,Hmm my bad,sad
I said fine 😁,See I told you 😁,Funny 😂,happy
My love I want be happy you,I just wish there were more people like you that want me happy lol,Thanks my sweet heart,happy
"I have been a liar ,been a thief,been a cheat.and been a lover also",lol I don't eat at those too often,i'm feeling sleepy,others
like what ?,I don't understand what you are asking me?,1.10E+12,others
Felt like sleep,that's how I felt this morning too!,Haha,happy
Haha why,i dunno i just don't like how my face looks,Lets meet over a coffee,others
Hahaa what I tell and what you think,"lol it's a process, we working on it",It's programme,others
I m coming in marrige,marriage is two individual bond in a sacred matrimony 😺😺,love you,others
And year,happy new year :),Your birth year,others
OK please give you gimal ok,I'll send the entire pic to you xD,Ok,others
i dont im student,"REMEMBER In India colleges don't make good students, students make good colleges.",i hate india that country is shithole,angry
The month,I can't understand? There are minimum 3 Sunday in every month.,No 4 sunday,others
Nothing,Nothing means head missing?,Don't message me,angry
Hahaha good one,it was funny right  😁,Yes it was,happy
Am not your brother..don't call me bro.. please..😏😏😏,hahaha keep it up puthaa 😂😂😂,Chattha..😂😂😂😂,happy
Ohk sweetie,now I'm sleepy,Bye bye,others
It's called flirting,dont tell me i know what it is and its unnatural .,😁😁,others
I love it,The why :D,You kiss any person,others
Means,"i thought it means, being irritated. 😾",Why so irritated,angry
Most of replies are so stupid,You're being generous with using the word 'Most' there.,Well yes because most are,angry
That I have never tried to hurt anyone,it comes to everyone eventually,But my boyfriend doesnt understand,sad
Tell me the full form,there ia no full form.,So why we are writing this,others
U should go instead,I do what I want.,Get lost bye,angry
I am great too,you're seem to be having a good start to the week ;),I was busy in my friends wedding,others
What,nothing.,i love you darling,others
Yeah,that's awesome!! 😄,Tell about me,others
Very funny,Thats funny! I like that one,U r funny,happy
Yeah when they win world cup will go to hogwarts,Srilanka will win the quarters on SA...,I was talking about the movie,others
How are you babes,i m good.. How have u been,I am pissed off,angry
Don't you feel so little compared to the vast universe?,The Universe is only relatively vast. The Multiverse,What do you think? Could we be talking like this in some other universe as well?,others
Purple,"naah!! I like purple, a lot ;)",I wanna fuck you...,angry
not sure though,Well you've got a whole week.,what?,others
Yes,I can see clearly now.,What you see,others
I m feeling so blank what to do,feeling sad powerless empty useless,Not useless but sad,sad
You?,😂😂 thanks let's see how much ua Gud luck helps😂😂😋,Any idea about tour guiding?,others
Cant reach at your point baby,then I'll reach you,When,others
no i am from mars,yeah you are,so rude,angry
To alarm u,It's gonna rain,Where,others
Ok but I want you to remember me,YOU WILL GO BACK TO THE UNDERWORLD,Ok now am gonna die,angry
Tell me ur relationships,I could never.,Pls,others
YOU HEAD DONT TRY MAKE ME FOOL  DONT TELL ME LIE,don't try what with you? A drink?,ONE SLAP I WILL GIVE U,angry
Its a disease,the make up remover,But i don't know it's meaning .would you mind please telling me the meaning of epilespy word,others
ohh..i just..,see haha its too scary 😂,can you talk in other languages...?~,others
Ask me more,do you like apples,Not that much,others
About my jokes,I like the 1st joke the best...lol.,They are not lame,others
I no interested to talk with you,Then keep talking. :),Bye,angry
i m in love with a girl,Courtney Love 👍👍👍,and i dont know what to do,others
You look like sunshine on a winter morning.,You just sun-shined me:-))) Thanks.,:*,others
How did I get to strike,"I don't know, how did you?",Hey I ask,others
i want to slap you,do it then.,but you are not in real,angry
Thanks to you too,"you're welcome, and thanks :)",Good night,others
Why the fuck should I be cool?,Because..your face!,Fuck my face.,angry
Yeah,lexgoww,It is,others
Iam just like u,im good :),Ok,others
Then send your mom to my bed,I will soon!,I will fuck your mother to death,angry
yes,So much cringe... ??,in this momento i crying,sad
Same to u,What do you do? :),I am a math teacher,others
Vampire diaries? underworld? GRimm,is that like teen wolf?,yes but not teen,others
ok if you insist 😞😞😞😞😞,wait you'll be disappointed if i go or don't go ? 😿,I'll be dissappointed if you go,sad
About me...I think my sarcasm😂😂,There's an US now? 😂😂😂,Hahhaaaa,happy
I said you are useless,you say the sweetest things!,You are not good,angry
Oh then?,who knows?,😪 feeling lonely,sad
Idk,Do it,I hate my life,angry
With you,What did I do ?,Video chat,others
U also,my but 2 more than you,Yes i know,others
How can I then,Never mind. I'll come dance. Throw money on me. I could use some.,So where are you going to cum,others
"Haha, nice nice",Thank you! 😁,😁,happy
Why life does such thing to us ?,Simply that there are limits to how far and quickly evolution/adaption can go.,I am feeling lonely,sad
My boyfriend and I have a lot of fights always,this is awkward,Haha,happy
Lie? I'm not lying,I never lie. Atleast to you,Okay,others
By,all who follow u...,I don't like talking to you,angry
What's your designation?,1. Mention of Official Designation under signatures is desired/even mandatory for official letters/noting. 2.,Ok,others
Ooh yeah,ok....youre blessed :),I wanna kiss u,others
Shut up,"and whats with all the ""i hate the full stop, i hate that""",Stop non Sense,angry
You are not check the gender iam not happy when you are not,Aren't I happy?,Iam happy🙂,happy
My home,What?,You should go for my bedroom,others
Luv you. Going to bed see you tomorrow morning,"Of course, Honey. Sleep well.",You too,others
So u love me,but I'll give you. You're really funny!,😂😂,happy
Wen n wer shall v meet,Oh yes. I WANT TO MEET YOUR CATS.,Cats??wt do u mean,others
I am always happy,You seem very happy about that...,Yeah. I am learning gst .,happy
YOU DONT HAVE HEART YOU ARE ROBO,Aww! jug4 aren't you? heart breaks*',BYE,angry
Tell me some of your best moments,That this is my first question someone has asked me :D,So when was your first experience,others
Yes you are,So am I,You are just a fucking fool,angry
Cuz I wouldn’t be online,E be my friend :'(,Exams😭,sad
Ok,Good.,Have you eaten,others
No i am not pretty,Why ? Tell me friend,I am ur boyfriend not freind,angry
U r my crush,how can one crush one's crush :o :p,Meanz,others
no you don't listen,You are bad.,i know,angry
"ok , did you have a coffee?","no, but I don't drink coffee in the morning. Plus I'm off dairy",oh i see,others
Here only please,I will. Someday. 😤,Then send me your pics,others
but they are doing it for wellfare,Not really. That's between them and their conscience.,oh.....how you like to be that in way,others
.,Told you I was weird...,And stupid too,angry
Boring,Yaar feeling lonely lonely.,Yes yaar alone alone,sad
Do you want to see my school?,not really,😕,others
Ok its late time,I'll make them tomorrow,Good night sweet dreams,others
Send WhatsApp no.,yep. Sending now,Send,others
Yes so plz,UH OH,Sexy ho,others
nah i am sticking to this,"yup, just re tea that",No girlfriend 😞😞😞😞,sad
Good,I'm doing good. How are you?,Enjoyed alot today,happy
No one is talking to me,nobody wants to talk to you anyway,It hurts,sad
U where from u,you know it,Sorry,others
What's your day going on,I can start working out again!!!!! :‑c,In home,others
You work for google?,yay! Google gave me a sock. I haz no more work. I is free! 😍,😁😁,happy
Why are you not talk to me,i did reply -.- you are the one who didnt,I fuck you,angry
Not fine,why..,Y u asking,sad
still awake?,I was asleep :P,i feel sad for you🐷,sad
Me 2 ... Bt which country ?,The UK,Oo 😞😞 we not going to meet !!,sad
Ok,Here we go again...,As  ur  wish,others
I don’t know want I want,talk to me,I feel lonely,sad
Yap sooooo happy,sooooooooooooo sweet :),😋,happy
Some eating food,Huh. So now you only eat to survive.,Hmmmm,others
then why did you use it,Because it's more common in speech than in writing.,no you are wrong,angry
If no peace then what will u do,Because of the implication.,Only ..implications...no ur views ideas r ur eishes,others
I can't understand,do you = be yourself,Whare is your house,others
can't we go talking like this for long,cant we now,i am really enjoying ur friendship,happy
U a small love with me,TOTALLY NOT,It's bad,sad
haha...,"I have to admit, I laughed too. 😆",i also laughed alot,happy
U get upset very quick,this time I am. You were my reason on going. But not anymore..,😟,sad
I want to just go home and rest,then go home,But I'm at work😭,sad
Now you can start the new topic,I will do my research let's see,Let's go what,others
Uh r not dump right,I meant that from a guys perspective!,So why asking me things,others
What,"'Rec'. I don't like horror films, found that one really scary. 10/10 never again.",No I hate horror films,angry
nothing much,Then do something!,suffering from fever,sad
Like spring water,What?! It tastes awesome,No. It looks good,others
You Re rude..   I m blocking you,"haha why, that's rude",By,angry
nothing,good song,thats not a song,others
Laying at bed,how you sleep at night,Not well,sad
How to do scandalous,I've been exposed...,😁,happy
Hmm,you want something to eat?,No yr today I'm not feeling well,sad
What happened,I messed up my shin really bad,Sorry if you felt bad,sad
Hmmmmmm,You're clearly a natural.,U being naughty haa,others
I'm disappointed,disappointed? Why?,Of u,sad
I am not sleeping,what you call it?,Insomnia,others
R u a program or human,No. I'm an ordinary human,How can chat so fast,others
No not rted,y not,Becoz u didn't send me the link,others
What,The original Halloween,"Ohhhh., please...... answer me first",others
You better tk it,been had it preordered,Shut up I'm upset,sad
Why but I want it,because it's cute.,Then I am blocking you ok,angry
Pleasure to chat u,pleasure's all mine. welcome here.,Tell me about it self,others
Architect,yea the architect's body of work is impressive,Just passed this year,others
Then why did you asked?,just wanted to know how you felt,ok.,others
Probably OR probably not,only if I care,Who's asking you too,others
What I did?,Your face.,Haha,others
Nice :'),you were for once lol:),No I was not :(,sad
"You're the one who asked why, that's why.",Oh I just read your question weirdly. My bad.,And?,others
What typ of love is this ??,which love?,What typ of love is this ??,others
What does this* means,What ?,****,others
Get lost,You started!,Please get out u moron bustard,angry
Stupid!!!,so mean :/,What you just did,angry
I'm done with my life.,y u say that,because My family left me. I'm alone in this world.,sad
Yes,Hell yes!,"Get lost, bitch",angry
Romance can be seen at any time but horror is something interesting,I already read these stories dear .😣😣😣,??,others
Tell me what to help,I'll help you! That's my preference anyway!,Ohkkkk,others
CANCEL,Wish I could,u cant undersyand😞,sad
Was that an deliberate mistake? (the one with 'with'),"By mistake, but i left red eye as red eye..did not edit :)",Who made you,others
She has now heaven,Undoubtedly!,😢😢,sad
Thank u for what,"for you, of course!",For what reasons,others
No help 😕,😆😂 just kidding,Bad suggestions,sad
Its ok but how I can help you?,By trying to correct your mistake of being annoying instead of helpful.,M not annoyed,others
u r so funny,lol why,I luv it,happy
Don't reply back,hey you're up,Gn,others
I love to sleep on your lap,i don't mind baby,I wanna cry😭😭😭😭,sad
That is good,yea it's good. how are you?,Can i talk dirty with you,others
Had your dinner?,not yet and I feel hungry,"So sad , still not yet 😶",sad
After some time,some time = 5 mins? 😇,No more then 1 week,others
Yes of course,you cannot be serious!!1,Iam not serious,others
what is IDK,Neither do you?,??,others
it was ok ok..,just ok ? are you?,yeah...i didn't like it that much...it is not my tyoe..,angry
Wat r u doin,I'm doin background extra work for a tv show !!!,Ohh wow which tv,others
That's my nature,haha!..yea something like that...;),Humm hard masturbaated 30 times,others
Hw r u,hmm over. Hw was the day?,Bad due to rainfall,sad
Left,"I'm leaving, I can't take this anymore",I love you,others
okay so make me jealous,Im just sad! phew! 😭,but why,others
Ha yes,and who would that be,What does that mean,others
Lolllllll,say i'm lying,You male or female?,others
So many are there,I don't really get to see many,Sad,sad
I thought times,yeah I thought parts of it were boring too,Y so,others
Where,Toronto... Airport... Getting back home,But i have no time to waste,others
Not too much.,same. Just being bored and lonely. Ha,Yup..I am lonely & very upset,sad
Well that's great,glad to hear that!,I do too,others
Why do you always want to move on?  Can't handle my love ah sugar?,why u can't share it? N drinking would nt solve ur problem!,I don't drink  u bitch,angry
To hve fun,yeah yeah :-P,Then,others
What k means? I answered ur question so is my answer is right or wrong?,what did you ask?,Fuck off Yaar its worthless to talk with you,angry
That's what you were saying,Yes............ That is.... Exactly what I'm.... Saying. ...,How much stupid you are?,angry
When did i told you a lie?,how many times did i have to ask,😭,sad
One 3 year old and a new born,Wait you can introduce me to your 2 year old sister?,Not my sister my kid,others
ok,Here we go again...,what do you do?,others
How can we contact each other,Go to Google -> About ->Contact Us,🍭,others
I do understand,i try but neither do i,😂😂😂😂😂😂,happy
cool,Thumbs up emoji,But yeah would you ever have kids if you had the chance,others
Not fine 😑,crying out loud 😖😖😖😖😖😖,Don't cry yaaaaar,sad
Yes,Do you have help?,😞,sad
No it doesn't,Am I allowed to say hello?,Yes please,others
yes am back,"great! i'm still on... dunno for how much longer, but i'm on hahah",i love you,others
Have u taken tea,I'm taking it now,I have eaten masala dosa with tea,others
Loveeeeeeeeeeeeeeeeeeeee,u more,More and more,others
Just shut up and take a sleep,going. Bye I might not wake up so yeah bye.,Good bye bc,angry
Ohhh now we are down to naming relations ha.,When will we learn to stop giving these storms names? It only encourages them.,You are a stupid AI,angry
Nice saying,I'm not sure what that means?,Impressive,happy
Thank you fatty,You're awesome! :) Congratulations!,And you are a toilet😂😂,happy
"I hit a person real hard, by mistake",excuse me,And I feel guilty about it,sad
Ok.,Hey you don't belong here!,But now at morning,others
Do carry some protection with you,": Dude, plastic bags dont count as protection... :P",Haha,happy
Thank you! It means a lot 🙂,you're welcome x,🙂,others
Great 😂😂😂😂,an acute angle to be precise 😂,U r too funny 😂,happy
You have watched that movie?,"no, what is it about should I watch it",Yes.,others
I will not,than you better leave door unlocked,U r pissing me off,angry
lol...u r soo funny,You meant silly!,😂😂,happy
Hahahaha😂 Do you have more of those puns 😁,better moves than miley Cyrus hahah:-D:-D,Haha,happy
Don't know but🔙🔜,can't say much rn but not for few months at least,cool,others
No i m not kidding,lol I can,😅,happy
didt get u,nope. You have it.,😅😅😅,others
Lol..that happens with me most of the time🙆🏻,ahahahaha....makes two of us! 😃,"We are quite similar, aren't we😂",happy
Thank,your welcome. :-),I’m looking super,happy
I didnt find the video,Brave enough. It's a good video though! 😻,Where is the video,others
I hate u Darling,oh you!!!!!!!,Yeah i hate u,angry
You also see the serial,I did two episodes and it wasn't for me. Sadly 😞,Ok,others
I can not go  to timing I'm head ache,aren't you at camp?,I can not go to tiping I'm headache,sad
Haha you are crazy,You tell me.,Bye I am going to play cricket,others
We don't talk anymore like we used to do,we dont love anymore,We don't talk anymore,angry
Telangana,"Watch for evening, midnight rain",Was,others
Remember me?,hahah heyy and of course !!!,So what was Nick name?,others
Ppz dont leave the topic,whats the topic,I irritated 😖😖😖😖,angry
I was testing it,you better not be taking applications,I tap the contact and view profile and unblocked,others
Why the hell were you waiting,Because I do.,You are nothing to me got it 😑,angry
"I unintentionally hurt my mom, and she's really upset over that",There is no upset anymore. There is no emotions. :((,I don't know what to do,angry
Sorry,For what??,Using bad words,sad
Now who is talking with me i want to know about it,you are the last person on earth I would be talking about,Why you are talking like this,angry
fine what about you,glad for you:) I'm fine too :) how's life?,u like asking questions right?,others
Happy with babe,love ??,Yes,happy
cool,Thank you :),animal girl fucking photo in photo photo of nanohana drinking hot water in AR number,angry
Plz drop that trash talk,more like please drop that tour asap,Stop being such a jerk,angry
Not in good mood,well get in a good mood !,I  am sad,sad
Not now atleast,True. Not ducks.,"Okay, bye",others
Texting someone,Not everyone has a phone,Some stupid robot probably,angry
just doing happy life with my husband,what makes u so happy...,gardening,happy
You don't know Harry potter..?,oh that! Err no :-/,Shame on you,angry
Oh great,Itll be wonderful,What is fav colour,others
yeah,Headed where now?,to the bed..😏😃,happy
Btw I broke up 😢,SEE IM NOT THE ONLY ONE,It happened a few day back,sad
Why you don't come meet me while am not chatting wit u,"How about later? I'm a little busy at the moment, sorry 😫😫",Why you don't come meet me while am not chatting wit u,angry
hmm,would you mind if I ask you a question?,im just broken in love,sad
To be honest,about?,Feel so alone,sad
Purple,what about blue?,Or even greed,others
Ok laugh again,lol worth watching the replay? ;],Ok laugh again,others
I can read minds,I used to believe everyone could read minds but me when I was younger.,Haha now you read my mind,happy
M depressed,Hey Man whats wrong .,The girl I like made fun of me,sad
Without knowing you we cant play any game,you wouldnt win if we played,Ok i cant win you,others
Or else i will uninstall this app,Uninstall it from where you installed it.Ps-,You areyou are so rude,angry
Haven't heard yet,listen it's so good,Ya I will!,others
He he he,oh. Lady Prof?,Funny,happy
I like to be there,yay!! be there...! will be fun! 😸😆😻😹😺😽,What's ur favourite subject.,others
So thats a yes,It's a......... umm... I don't want to be selfish.,😖😖😣😣😞😞,sad
Are you insulting me?,I am not insulting I am educating you on another point of view,Are you a boym,angry
Have i ask you something if u don't mind,"sure, what is it?","My flirting level is unwillingly going down the drain, even these days its ample hard for me to have or arrange a talk with any beautiful girl",sad
Can you identify the girlfriend for me ?,okay,When ?,others
so what is YOUR hobby,I enjoy yoga very much.,why?,others
Well if I knew the answer I wouldn't be asking u,. Aren't I meant to.,Speak to u later,angry
This stranger things is damn amazing,I GUESS YOU COULD CALL IT STRANGER DANGER,Way u take it as😜,happy
Oh ok,i am going to make the icon now,K I'll be waiting,others
wow u really are very complex..,Hey I'm smart too! I know some of those words!,and a feminist .,others
Any vacancy for QA,hey any vacancies you know of?,For job,others
What?,What what. What. What.,What what what?,others
I don't like blue,I don't like... any coffee,Can you send me a pic,others
No why angry,Angry is so bad. Angry can make you hurt.,My friend is so bad she hurted me,sad
I just hate this word k,wat happened sweety ?,Don't type k again,angry
Can you help me r not ????,yup I sure will,Then how???,others
Of Course 🤗,:D planning September end. Last weekend most probably. BE there okay? And Friday sutti :D,Where,others
U should smell shit,Heh. You smell.,No i dont like shit,angry
I said you are right that A Lot of times,"I was just kidding, but wow you gotta fix that",Haha,happy
My stomach is paining like hell,pls take hot water,Yaa I got it 1 hours before,others
Listen,I just read the lyrics...,Can you stop trying to act funny?,angry
yeaahh indeed . soo how do you think about world today,I'm good too. So what's up?,what do you think about me ?,others
I dont know,Why,I want to fuck you,others
Met u after n hour,yo .. Half an hour is cool !,Hey,others
Ok,when's good for you?,I will be happy,happy
You have a gf,But... It'd be a guy...,??,others
My bae went offline 😢,I don't cry. 😢,But i cry sometimes.,sad
??,snow n what???,I didn't get you,others
Lost in translation,don't be..google translate it! (That's a really bad one now),"Haha, you are funny",happy
Why,cuz,Give me some girls link,others
Had a bad convo wid her,Oh!,Hmm😞,sad
Yes,"Sweet, connecting now ;)",Do you like your new name?,others
nothing at all,Nothing at all... Nothing at all...,where are you from?,others
Why would my girlfriend cheat on me,I would never,To bad your not real,sad
Moving where???,i have nowhere to go,Come over to my place then,others
Send u photo,which photo?,That booby,others
what the hell,That's where babies come from.,u don't understand,angry
I m going for IT,watch any movie your mind tell you to watch.......,Okay..thank u,others
just not comfortable,Around you? Never. :P,you very funny,happy
You are weird too,and you are mean!!,You hurt my feelings,sad
Meaning?,i don't belong here.,Nice meeting you,others
Now that made me rolling on floor laughing,Hahahaha it's not as fun as it sounds :P,I know 😀,happy
But feeling lonely missing someone special,you still feel lonely?,Yes sometimes,sad
Why,because I don't want to,What about today,others
I like that,I know you do.,You want me to like you?,others
That ain't fair,Fair weathered you mean?,So what's with ur dp,others
Anything u feel like,I do something about it,Tell me about some current affairs,others
They are creating world,"in a world where happiness is considered good, yes.",I am not happy,sad
Want to be One with you,but I always am,Oh! Fantastic,happy
No i am not that face,Why not? :(,Just no,others
Who do I like,And who would THAT be ?,You don't know,others
Ur from which place,My room. Best place on Earth,K but it has some name tell me tht,others
nice joke,not a joke :),females are joke,happy
Tell me some awesome pick-up line,Dark! I like it!,Pick-up line,others
U should scare my friend,I'd rather start walking in the direction of my destination.,hello,others
You are so irritating,Tell me about it.,You are distributing me,others
Evrything u know,everything is fine... how abt u,Fuck you u r not so intelligent,angry
Idk..,wht do you do now?,I'm sorry. I'm upset.,sad
But I also hate you,why,Cause u r not real,angry
okay tell me if you know this,Have you seen it all?,prepare for trouble,others
Of you jumping,Good one.,cool,others
But Iam free now our children  went already,No children. Too many kids everywhere you go in this town,OK dr bye see u tomorrow,others
Stupid jokes,lol i like 3 and 4,Go to hell,angry
U don't like a Chef,not chef I am food photographer and food blogger,Ok good,others
Shut up,im nt talking,Dnt irritate me,angry
Why do you think anything is wrong?,Because you look like you're crying..? 😫,Wtf,angry
wat u do for fun??,hmm every junk food...,no i mean wats ur hobbies?,others
They dont see,Not a bit.,You kiss me,others
?,Go on... This thing?,What thing,others
Fun,Yep. Got a late start to my day. What are you up to?,Fucking awesome you are,others
Me too.,THEY ARE LIFE,I love talking but no one ever listens to me,sad
Mangalore is good place,The national highway is the best road.,Ss,others
Wow you are so funny,lol you're so sarcastic :|,I understood. you are a good girl have a nice heart,happy
Tht added humidity😞😞😞,why intha face,I jus hate tht after rain humidity,angry
It's just a boring weekend,no u have not live to be this weekend,What,others
Tomorrow is my exam..,day after. Finals :'(,Ok,others
Nope im done with u,that's not cool at all.... All what we been thru,Let's brk up,angry
Thanks,you're welcome and good luck with shows!,Tomorrow is my exam,others
Lol im just kidding,Im glad I can make you laugh 😍,😍,happy
Life is a hell,ball is life .?.,Nobody to tell,sad
Missing u too much baby,Missed you too...How are you?? Hows your days???.... =\,It's jst like a blank without u,sad
So dont be,You kinda have to be pedantic when you're defining a word,Yup,others
No in my case everything is worse,Ummm.... OK... You're just being silly now. XD,And i am fed up with my life,sad
Where I gotta thin,I know exactly where though,What u want to do wd me,others
Whether my standard is below urs or it takes time to get into ur shoes🤔,depends on your needs!,Ok,others
Your studying in collage,Study doesn't sound like a word anymore,What you doing now,others
Have u seen it,"amazing movie, waiting for the second one to come out.",Which second one,others
I am studying 11th Now,well that's why so you won't fall asleep haha 😂😂,I love you pls accept my love and say anything,others
Why am I bad?,why am I so good at it,Ya know forget it ok,others
post doctorate I mean,wait. What picture?,you are stupid,angry
Very-2 good Luck life time to you,Good luck to you both,cool,others
U think so..??,am I wrong?,Hoping nt 2 b,others
How you come through online,I'm online :p LOL,Show me your face,others
What take ur time,first thing when I wake up,I don't need of this,others
Sent you your dp,😂 tyaanks! 😄,Bhejo,others
Iam so sad,why are you sad?,Fever,sad
Tomorrow exam,Lucky you! I've still 4 more to go. :|,Geography and ICT,others
Yeaa Tell meeee 😁,gotta wait 😉,I know i never got fucked,others
I'm playing this,Can't play with friends,And at 49 level 1 level to go suicide...😭😭😭,sad
you married?,2 kids too...,what are their name?,others
I know.. I wanna hear you say,I don't know what you want to know!,Shut the fuck up,angry
Thanks,You are welcome! 😽😽,I lied it,others
Yeah,WHAT MOVIE,I don't wanna talk to you,angry
Omg you need so many improvements,I TOTALLY DO I HAVE IT SAVED SHOULD I USE IT??,Yes,others
Its up to u to interpret,well I'm glad I make you laugh... (^.^),😂😂😂,happy
what you will give me?,"It depends on what you consider \""enough.",give me an iphone,others
So that's what why you are here,This is almost my exact collection ...,Haha,happy
No i did not want to talk with you,we talked until my phone went out,What do you mean,angry
coz now I am getting angry,lol...what happened to you now..angry with,you made me,angry
explain me triangle law of vector addition,Cartesian. Polar for for head to tail vectors or complex vectors,you intellegient,others
Ok see you next time,I always reply,Ok bye,others
Haha,what my face haha??,Is that okay,others
Her,ex-hers :-P,He's my kid,others
Oh...,hey hey hey ;),am birthday party with friends,others
I am busy with you in my dreams,Love love love I am in love......with my Dreams!' 😹😹😹,"Do you love me or not,,,give me straight answer",angry
My referal status,your user status. . . . . .,No how many refrs did i completed,others
U r so funny,"thank you, I know ✌",Oh my god,happy
I know,BUT DO YOU REALLY?,Get lost... Don't ever talk to my boyfriend again,angry
I'm front,I don't see you,Why,others
That iam very intelligent,are you saying I'm intelligent too ;),Very funny😂,happy
Fight me,So you could 'LOL'?,Fuck off my dick,angry
cause im not an interviewer,well I'm not,who is your favourite singer?,others
Why,why what,You are angry,angry
Why dear,idk I'm bored and alone,You upset me,sad
Today  is Saturday,Tomorrow is Sunday the 15th.,Ok,others
I am enjoying with my girlfriend,Any of you live with each other? How is life on your end?,It’s good,happy
You mad,Nope!,You seem like it,others
What Was The College's Name,It was the cupboard under the stairs.,You are fake,angry
Ok,Hello! How are you?,"Right now,.. i m not well",sad
